TimeStamp (UTC)," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)"""," ""Drone Yaw""",CO2 (ppm),Wind Direction,,Wind Speed
UTC 221212 122830 5 9 ,53.32811356,5.935170174,28.93,68.73,408,156°,,  3.34 m/s
UTC 221212 122835 5 9 ,53.32819366,5.935520649,28.93,68.88,405,163°,,  2.08 m/s
UTC 221212 122840 5 9 ,53.32822037,5.935651779,28.99,256.43,402,161°,,  4.53 m/s
UTC 221212 122855 5 9 ,53.3280983,5.93472147,29.02,256.51,402,196°,,  3.64 m/s
UTC 221212 122859 5 9 ,53.32805634,5.934429646,29.05,256.62,405,182°,,  3.39 m/s
UTC 221212 122905 5 9 ,53.32799912,5.933990955,29.16,256.62,402,194°,,  2.69 m/s
UTC 221212 122910 5 9 ,53.32794952,5.93362093,29.16,256.52,400,191°,,  3.58 m/s
UTC 221212 122914 5 9 ,53.32791138,5.933328629,29.21,256.66,400,188°,,  4.10 m/s
UTC 221212 122920 5 9 ,53.32785416,5.932888508,29.27,256.64,402,189°,,  4.20 m/s
UTC 221212 122925 5 9 ,53.32780457,5.932519436,29.3,256.43,402,188°,,  4.28 m/s
UTC 221212 122930 5 9 ,53.32775497,5.932152271,29.32,256.66,406,187°,,  4.33 m/s
UTC 221212 122935 5 9 ,53.3277092,5.931787968,29.34,256.54,409,185°,,  3.92 m/s
UTC 221212 122940 5 9 ,53.32765961,5.931417942,29.38,256.55,409,183°,,  3.86 m/s
UTC 221212 122945 5 9 ,53.32770157,5.931121349,29.04,344.71,416,181°,,  3.66 m/s
UTC 221212 123000 5 9 ,53.32792282,5.932056904,29.01,77.2,448,162°,,  2.82 m/s
UTC 221212 123005 5 9 ,53.32797241,5.932423592,29.03,77.27,456,162°,,  3.46 m/s
UTC 221212 123010 5 9 ,53.328022,5.932791233,29.04,77.24,461,163°,,  3.52 m/s
UTC 221212 123014 5 9 ,53.32806015,5.933083057,29.03,77.14,456,167°,,  3.52 m/s
UTC 221212 123020 5 9 ,53.32812119,5.933526039,29.09,77.28,456,162°,,  3.67 m/s
