TimeStamp (UTC)," ""Latitude"""," ""Longitude"""," ""Altitude (Meter ASL)"""," ""Drone Yaw""",CO2 (ppm),Wind Direction,,Wind Speed
UTC 221222 111615 5 9 ,53.32782364,5.934484482,28.75,60.35,531,242°,,  8.13 m/s
UTC 221222 111620 5 9 ,53.3278923,5.934679508,28.42,60.55,524,244°,,  7.72 m/s
UTC 221222 111635 5 9 ,53.32822418,5.935647488,28.32,60.97,531,235°,,  9.38 m/s
UTC 221222 111641 5 9 ,53.32820892,5.935568333,28.32,256.36,485,232°,,  7.67 m/s
UTC 221222 111644 5 9 ,53.32817459,5.935302258,28.37,256.74,441,225°,,  8.28 m/s
UTC 221222 111650 5 9 ,53.328125,5.934931755,28.41,256.66,417,235°,,  6.20 m/s
UTC 221222 111655 5 9 ,53.32807541,5.934566021,28.43,257.17,401,237°,,  6.72 m/s
UTC 221222 111700 5 9 ,53.32802582,5.934197426,28.49,256.58,401,234°,,  6.60 m/s
UTC 221222 111705 5 9 ,53.32797623,5.933830261,28.49,256.59,410,227°,,  7.36 m/s
UTC 221222 111710 5 9 ,53.32793045,5.93346262,28.53,256.82,470,230°,,  8.43 m/s
UTC 221222 111715 5 9 ,53.32788086,5.933095455,28.6,256.89,459,226°,,  7.77 m/s
UTC 221222 111720 5 9 ,53.32783127,5.932729244,28.64,256.72,445,231°,,  7.62 m/s
UTC 221222 111725 5 9 ,53.32778168,5.932359219,28.75,256.34,454,230°,,  7.85 m/s
UTC 221222 111740 5 9 ,53.32763672,5.931267262,28.81,257.5,445,228°,,  6.99 m/s
UTC 221222 111745 5 9 ,53.32778168,5.93113184,28.33,25.14,470,234°,,  8.24 m/s
UTC 221222 111750 5 9 ,53.32784653,5.931453705,28.33,77.03,498,244°,,  7.47 m/s
UTC 221222 111755 5 9 ,53.32789612,5.931826592,28.38,77.67,519,237°,,  7.28 m/s
UTC 221222 111800 5 9 ,53.32794189,5.932193279,28.4,77.2,540,237°,,  6.57 m/s
UTC 221222 111805 5 9 ,53.32799149,5.932561874,28.41,77.55,549,239°,,  5.24 m/s
UTC 221222 111810 5 9 ,53.32804108,5.932929039,28.43,76.85,569,247°,,  6.51 m/s
UTC 221222 111815 5 9 ,53.32809067,5.933293819,28.46,78.16,581,243°,,  7.16 m/s
UTC 221222 111820 5 9 ,53.32814026,5.933666229,28.47,77.73,602,236°,,  7.42 m/s
UTC 221222 111825 5 9 ,53.32818985,5.934031963,28.48,77.31,602,234°,,  8.94 m/s
