X,Y,TimeStamp (UTC),"""TriggerID""","""Latitude""","""Longitude""","""Altitude (Meter AGL)""",Gimbal Roll,"""Gimbal Pitch""","""Gimbal Yaw""","""Drone Yaw""","""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter),wind_speed,wind_direction
695311.4811,5912808.155,12-12-22 10:19,1580,53.3283844,5.933121204,9.31,FALSE,FALSE,FALSE,252.89,252.89,0.01,450,7,100,285,155,127,1.19,101217,24.96,  3.17 m/s,188°
695306.7891,5912806.263,12-12-22 10:19,1581,53.32836914,5.933049679,9.2,FALSE,FALSE,FALSE,253.04,253.04,0.01,445,6,100,284,155,127,1.16,101220,24.96,  3.17 m/s,188°
695302.0161,5912804.792,12-12-22 10:19,1582,53.3283577,5.9329772,9.1,FALSE,FALSE,FALSE,252.76,252.76,0.01,439,5,100,284,155,127,1.13,101222,24.96,  3.17 m/s,188°
695297.2748,5912803.322,12-12-22 10:19,1583,53.32834625,5.932905197,8.98,FALSE,FALSE,FALSE,252.83,252.83,0.01,439,5,100,284,155,126,1.09,101220,24.96,  3.17 m/s,188°
695292.551,5912801.428,12-12-22 10:19,1584,53.32833099,5.932833195,8.87,FALSE,FALSE,FALSE,252.99,252.99,0.01,428,4,100,284,155,127,1.06,101224,24.96,  3.17 m/s,188°
695287.8096,5912799.959,12-12-22 10:19,1585,53.32831955,5.932761192,8.77,FALSE,FALSE,FALSE,253.23,253.23,0.01,428,4,99,284,155,127,1.04,101217,24.96,  3.17 m/s,188°
695283.0366,5912798.488,12-12-22 10:19,1586,53.32830811,5.932688713,8.66,FALSE,FALSE,FALSE,253.18,253.18,0.01,450,7,99,284,155,127,1.02,101216,24.96,  1.29 m/s,208°
695278.2954,5912797.018,12-12-22 10:19,1587,53.32829666,5.932616711,8.55,FALSE,FALSE,FALSE,253.08,253.08,0.01,428,4,99,283,155,127,1.01,101220,24.96,  1.29 m/s,208°
695273.6493,5912795.553,12-12-22 10:19,1588,53.32828522,5.932546139,8.45,FALSE,FALSE,FALSE,252.37,252.37,0.01,426,3,98,284,154,127,0.99,101223,24.96,  1.29 m/s,208°
695270.8588,5912794.588,12-12-22 10:19,1589,53.32827759,5.9325037,8.37,FALSE,FALSE,FALSE,252.26,252.26,0.01,445,6,98,284,155,127,1.01,101236,24.96,  1.29 m/s,208°
