X,Y,TimeStamp (UTC),"""TriggerID""","""Latitude""","""Longitude""","""Altitude (Meter AGL)""",Gimbal Roll,"""Gimbal Pitch""","""Gimbal Yaw""","""Drone Yaw""","""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter),wind_speed,wind_direction
695195.4583,5912845.033,12-12-22 12:36,839,53.32875824,5.931404114,28.59,FALSE,FALSE,FALSE,256.53,256.53,0.01,403,0,65,293,112,133,1.37,100938,49.99,  5.26 m/s,192°
695190.6361,5912843.985,12-12-22 12:36,840,53.32875061,5.931331158,28.57,FALSE,FALSE,FALSE,256.53,256.53,0.01,403,0,65,293,112,133,1.36,100939,49.99,  5.26 m/s,192°
695185.9583,5912842.518,12-12-22 12:36,841,53.32873917,5.931260109,28.55,FALSE,FALSE,FALSE,256.51,256.51,0.01,403,0,65,294,111,133,1.35,100939,49.99,  4.11 m/s,193°
695180.8821,5912841.46,12-12-22 12:36,842,53.32873154,5.931183338,28.52,FALSE,FALSE,FALSE,256.49,256.49,0.01,420,3,65,293,112,133,1.35,100937,49.99,  4.11 m/s,193°
695176.0139,5912839.984,12-12-22 12:36,843,53.32872009,5.931109428,28.49,FALSE,FALSE,FALSE,256.53,256.53,0.01,405,0,65,293,111,133,1.33,100940,49.99,  4.11 m/s,193°
695171.1774,5912838.511,12-12-22 12:36,844,53.32870865,5.931035996,28.46,FALSE,FALSE,FALSE,256.62,256.62,0.01,403,0,65,293,111,132,1.33,100939,49.99,  4.11 m/s,193°
695166.5774,5912837.473,12-12-22 12:36,845,53.32870102,5.930966377,28.43,FALSE,FALSE,FALSE,256.56,256.56,0.01,405,0,64,294,112,133,1.33,100946,49.99,  4.11 m/s,193°
695161.9775,5912836.434,12-12-22 12:36,846,53.32869339,5.930896759,28.41,FALSE,FALSE,FALSE,259.01,259.01,0.01,405,0,64,293,112,132,1.32,100945,49.99,  4.11 m/s,193°
695157.611,5912836.679,12-12-22 12:36,847,53.3286972,5.930831432,28.34,FALSE,FALSE,FALSE,289.06,289.06,0.01,420,3,65,293,111,133,1.33,100945,49.99,  4.00 m/s,193°
695154.2336,5912839.94,12-12-22 12:36,848,53.32872772,5.930782795,28.2,FALSE,FALSE,FALSE,323.87,323.87,0.01,415,2,65,293,112,133,1.35,100960,49.99,  4.00 m/s,193°
695152.55,5912844.545,12-12-22 12:36,849,53.32876968,5.930760384,28.08,FALSE,FALSE,FALSE,347.32,347.32,0.01,417,2,65,293,111,133,1.38,100964,49.99,  4.00 m/s,193°
695152.0901,5912848.776,12-12-22 12:36,850,53.32880783,5.930756092,28.09,FALSE,FALSE,FALSE,358.77,358.77,0.01,423,3,65,293,111,133,1.44,100969,49.99,  4.00 m/s,193°
695153.6301,5912853.089,12-12-22 12:36,851,53.32884598,5.930781841,28.07,FALSE,FALSE,FALSE,32.25,32.25,0.01,428,4,65,293,111,133,1.49,100971,49.99,  4.09 m/s,195°
695156.8414,5912856.195,12-12-22 12:36,852,53.32887268,5.930831909,28.04,FALSE,FALSE,FALSE,61.36,61.36,0.01,444,6,66,293,111,133,1.53,100973,49.99,  4.09 m/s,195°
695161.043,5912857.641,12-12-22 12:36,853,53.32888412,5.930895805,28.09,FALSE,FALSE,FALSE,76.46,76.46,0.01,439,5,66,293,110,133,1.58,100977,49.99,  4.09 m/s,195°
695165.5334,5912858.251,12-12-22 12:36,854,53.32888794,5.930963516,28.17,FALSE,FALSE,FALSE,76.94,76.94,0.01,439,5,66,293,111,134,1.59,100971,49.99,  4.09 m/s,195°
695170.3873,5912859.301,12-12-22 12:36,855,53.32889557,5.931036949,28.17,FALSE,FALSE,FALSE,77.28,77.28,0.01,435,5,66,293,110,133,1.63,100971,49.99,  4.09 m/s,195°
695175.2238,5912860.774,12-12-22 12:36,856,53.32890701,5.931110382,28.14,FALSE,FALSE,FALSE,77.41,77.41,0.01,443,6,67,293,111,133,1.68,100972,49.99,  3.88 m/s,195°
695180.4904,5912861.84,12-12-22 12:36,857,53.32891464,5.931190014,28.14,FALSE,FALSE,FALSE,77.34,77.34,0.01,444,6,66,293,111,133,1.74,100973,49.99,  3.88 m/s,195°
695185.3269,5912863.314,12-12-22 12:36,858,53.32892609,5.931263447,28.16,FALSE,FALSE,FALSE,77.3,77.3,0.01,444,6,67,293,111,133,1.8,100975,49.99,  3.88 m/s,195°
695190.0855,5912864.359,12-12-22 12:36,859,53.32893372,5.931335449,28.19,FALSE,FALSE,FALSE,77.33,77.33,0.01,450,7,66,293,111,133,1.85,100974,49.99,  3.88 m/s,195°
695194.8268,5912865.828,12-12-22 12:36,860,53.32894516,5.931407452,28.19,FALSE,FALSE,FALSE,77.25,77.25,0.01,460,9,66,293,111,133,1.88,100974,49.99,  3.88 m/s,195°
