X,Y,TimeStamp (UTC),"""TriggerID""","""Latitude""","""Longitude""","""Altitude (Meter AGL)""",Gimbal Roll,"""Gimbal Pitch""","""Gimbal Yaw""","""Drone Yaw""","""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter),wind_speed,wind_direction
695404.456109531,5912749.51173565,2022/12/22 11:15:59,"1",53.32782364,5.934479237,0.18,false,false,false,73.68,73.68,0.01,"645","37","32","309","65","129",12.3,"100430",91.83,  7.39 m/s,244°
695404.360839349,5912749.50781883,2022/12/22 11:16:03,"2",53.32782364,5.934477806,0.79,false,false,false,73.57,73.57,0.01,"634","35","32","310","64","130",12.25,"100425",91.83,  7.39 m/s,244°
695404.329082622,5912749.50651323,2022/12/22 11:16:04,"3",53.32782364,5.934477329,1.13,false,false,false,73.09,73.09,0.01,"629","34","32","310","65","129",12.22,"100419",91.83,  7.39 m/s,244°
695404.392596076,5912749.50912444,2022/12/22 11:16:05,"4",53.32782364,5.934478283,2.88,false,false,false,74.18,74.18,0.01,"634","35","33","309","65","130",12.19,"100400",91.83,  7.39 m/s,244°
695404.487799682,5912749.51303852,2022/12/22 11:16:06,"5",53.32782364,5.934479713,6.03,false,false,false,74.44,74.44,0.01,"605","31","32","306","64","128",12.15,"100369",100.22,  7.39 m/s,244°
695404.724367619,5912749.94717609,2022/12/22 11:16:07,"6",53.32782745,5.934483528,9.2,false,false,false,73.41,73.41,0.01,"596","29","31","308","64","129",12.06,"100322",100.22,  7.39 m/s,244°
695404.851394516,5912749.95239852,2022/12/22 11:16:08,"7",53.32782745,5.934485436,12.26,false,false,false,73.54,73.54,0.01,"588","28","32","308","64","126",11.98,"100281",108.61,  7.39 m/s,244°
695404.883084665,5912749.9537014,2022/12/22 11:16:09,"8",53.32782745,5.934485912,15.29,false,false,false,73.76,73.76,0.01,"581","27","31","307","64","128",11.9,"100250",108.61,  7.39 m/s,244°
695404.787881067,5912749.94978731,2022/12/22 11:16:10,"9",53.32782745,5.934484482,18.25,false,false,false,73.65,73.65,0.01,"581","27","31","307","64","125",11.82,"100213",108.61,  7.39 m/s,244°
695404.724367619,5912749.94717609,2022/12/22 11:16:11,"10",53.32782745,5.934483528,21.26,false,false,false,73.57,73.57,0.01,"567","25","30","308","64","127",11.76,"100177",117.01,  7.39 m/s,244°
