TimeStamp (UTC)," ""TriggerID"""," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)""",Gimbal Roll," ""Gimbal Pitch"""," ""Gimbal Yaw"""," ""Drone Yaw"""," ""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter)
UTC 221222 111559 5 9 ,1,53.32782364,5.934479237,0.18,0,0,0,73.68,73.68,0.01,645,37,32,309,65,129,12.3,100430,91.83
UTC 221222 111603 5 9 ,2,53.32782364,5.934477806,0.79,0,0,0,73.57,73.57,0.01,634,35,32,310,64,130,12.25,100425,91.83
UTC 221222 111604 5 9 ,3,53.32782364,5.934477329,1.13,0,0,0,73.09,73.09,0.01,629,34,32,310,65,129,12.22,100419,91.83
UTC 221222 111605 5 9 ,4,53.32782364,5.934478283,2.88,0,0,0,74.18,74.18,0.01,634,35,33,309,65,130,12.19,100400,91.83
UTC 221222 111606 5 9 ,5,53.32782364,5.934479713,6.03,0,0,0,74.44,74.44,0.01,605,31,32,306,64,128,12.15,100369,100.22
UTC 221222 111607 5 9 ,6,53.32782745,5.934483528,9.2,0,0,0,73.41,73.41,0.01,596,29,31,308,64,129,12.06,100322,100.22
UTC 221222 111608 5 9 ,7,53.32782745,5.934485436,12.26,0,0,0,73.54,73.54,0.01,588,28,32,308,64,126,11.98,100281,108.61
UTC 221222 111609 5 9 ,8,53.32782745,5.934485912,15.29,0,0,0,73.76,73.76,0.01,581,27,31,307,64,128,11.9,100250,108.61
UTC 221222 111610 5 9 ,9,53.32782745,5.934484482,18.25,0,0,0,73.65,73.65,0.01,581,27,31,307,64,125,11.82,100213,108.61
UTC 221222 111611 5 9 ,10,53.32782745,5.934483528,21.26,0,0,0,73.57,73.57,0.01,567,25,30,308,64,127,11.76,100177,117.01
UTC 221222 111612 5 9 ,11,53.32782745,5.934483051,24.31,0,0,0,73.66,73.66,0.01,552,23,30,307,62,126,11.67,100146,117.01
UTC 221222 111613 5 9 ,12,53.32782745,5.934483051,27.31,0,0,0,73.79,73.79,0.01,543,21,30,308,63,125,11.59,100109,117.01
UTC 221222 111613 5 9 ,13,53.32782364,5.934484005,28.86,0,0,0,73.77,73.77,0.01,537,20,30,301,64,127,11.5,100076,125.42
UTC 221222 111615 5 9 ,14,53.32782364,5.934484482,28.75,0,0,0,60.35,60.35,0.01,531,19,29,301,64,127,11.4,100060,125.42
UTC 221222 111616 5 9 ,15,53.32782745,5.934488773,28.64,0,0,0,60.49,60.49,0.01,519,18,29,305,63,126,11.31,100068,125.42
UTC 221222 111617 5 9 ,16,53.32783508,5.934518814,28.54,0,0,0,60.39,60.39,0.01,514,17,29,310,64,127,11.22,100082,125.42
UTC 221222 111617 5 9 ,17,53.32785034,5.93456316,28.48,0,0,0,60.67,60.67,0.01,503,15,29,308,63,126,11.16,100083,125.42
UTC 221222 111619 5 9 ,18,53.32786942,5.934617043,28.44,0,0,0,60.29,60.29,0.01,514,17,29,309,63,126,11.1,100083,125.42
UTC 221222 111620 5 9 ,19,53.3278923,5.934679508,28.42,0,0,0,60.55,60.55,0.01,524,18,29,309,63,126,11.09,100087,125.42
UTC 221222 111621 5 9 ,20,53.32791519,5.934747219,28.4,0,0,0,60.49,60.49,0.01,531,19,29,309,63,126,11.06,100091,125.42
UTC 221222 111622 5 9 ,21,53.32793808,5.934816361,28.39,0,0,0,60.48,60.48,0.01,524,18,29,309,64,127,11.02,100088,125.42
UTC 221222 111623 5 9 ,22,53.32796097,5.934882641,28.37,0,0,0,60.74,60.74,0.01,524,18,29,308,63,126,11,100091,125.42
UTC 221222 111624 5 9 ,23,53.32798386,5.934947491,28.36,0,0,0,60.36,60.36,0.01,524,18,29,309,63,126,10.96,100091,125.42
UTC 221222 111625 5 9 ,24,53.32800674,5.935011864,28.35,0,0,0,60.73,60.73,0.01,529,19,28,309,63,126,10.93,100095,125.42
UTC 221222 111625 5 9 ,25,53.32802963,5.935078621,28.34,0,0,0,60.47,60.47,0.01,542,21,29,309,63,126,10.91,100091,125.42
UTC 221222 111627 5 9 ,26,53.32804871,5.935142517,28.35,0,0,0,60.5,60.5,0.01,524,18,28,309,63,126,10.91,100089,125.42
UTC 221222 111628 5 9 ,27,53.32807159,5.935207844,28.35,0,0,0,60.56,60.56,0.01,524,18,28,309,63,126,10.91,100091,125.42
UTC 221222 111629 5 9 ,28,53.32809448,5.935274124,28.35,0,0,0,60.55,60.55,0.01,524,18,29,309,63,126,10.9,100089,125.42
UTC 221222 111630 5 9 ,29,53.32811737,5.935338497,28.35,0,0,0,60.41,60.41,0.01,518,17,29,308,64,125,10.88,100091,125.42
UTC 221222 111631 5 9 ,30,53.32814026,5.935404301,28.35,0,0,0,60.67,60.67,0.01,537,20,29,310,64,126,10.86,100095,125.42
UTC 221222 111632 5 9 ,31,53.32816315,5.93546772,28.33,0,0,0,60.43,60.43,0.01,519,18,28,309,63,125,10.84,100095,125.42
UTC 221222 111633 5 9 ,32,53.32818604,5.935533047,28.34,0,0,0,60.64,60.64,0.01,519,18,29,310,64,125,10.86,100098,125.42
UTC 221222 111634 5 9 ,33,53.32820511,5.935596943,28.33,0,0,0,60.84,60.84,0.01,529,19,28,309,63,126,10.9,100099,125.42
UTC 221222 111635 5 9 ,34,53.32822418,5.935647488,28.32,0,0,0,60.97,60.97,0.01,531,19,29,309,63,125,10.89,100097,125.42
UTC 221222 111636 5 9 ,35,53.328228,5.935659885,28.33,0,0,0,23.89,23.89,0.01,542,21,29,308,63,125,10.86,100071,125.42
UTC 221222 111637 5 9 ,36,53.32822418,5.93565464,28.35,0,0,0,293.66,293.66,0.01,524,18,28,309,62,125,10.89,100068,125.42
