Flight time,Altitude,Wind Direction,Wind Speed
35m 00s,20.4 m,244°,  7.39 m/s
35m 15s,28.3 m,242°,  8.13 m/s
35m 20s,28.3 m,244°,  7.72 m/s
35m 35s,28.3 m,235°,  9.38 m/s
35m 40s,28.4 m,232°,  7.67 m/s
35m 45s,28.4 m,225°,  8.28 m/s
35m 50s,28.5 m,235°,  6.20 m/s
35m 55s,28.5 m,237°,  6.72 m/s
36m 00s,28.5 m,234°,  6.60 m/s
36m 05s,28.6 m,227°,  7.36 m/s
36m 10s,28.6 m,230°,  8.43 m/s
36m 15s,28.7 m,226°,  7.77 m/s
36m 20s,28.7 m,231°,  7.62 m/s
36m 25s,28.7 m,230°,  7.85 m/s
36m 40s,28.3 m,228°,  6.99 m/s
36m 45s,28.3 m,234°,  8.24 m/s
36m 50s,28.4 m,244°,  7.47 m/s
36m 55s,28.4 m,237°,  7.28 m/s
37m 00s,28.4 m,237°,  6.57 m/s
37m 05s,28.4 m,239°,  5.24 m/s
37m 10s,28.4 m,247°,  6.51 m/s
37m 15s,28.4 m,243°,  7.16 m/s
37m 20s,28.5 m,236°,  7.42 m/s
37m 25s,28.5 m,234°,  8.94 m/s
37m 30s,28.5 m,230°,  8.61 m/s
37m 45s,29.0 m,236°,  7.44 m/s
37m 50s,28.9 m,230°,  6.59 m/s
37m 55s,28.9 m,232°,  8.94 m/s
38m 00s,28.8 m,232°,  8.00 m/s
38m 05s,28.7 m,232°,  8.35 m/s
38m 10s,28.7 m,230°,  7.94 m/s
38m 15s,28.6 m,229°,  8.39 m/s
38m 20s,28.5 m,230°,  8.89 m/s
38m 25s,28.5 m,238°,  7.40 m/s
38m 30s,28.4 m,236°,  7.24 m/s
38m 35s,28.4 m,244°,  5.62 m/s
38m 50s,28.4 m,227°,  6.24 m/s
38m 55s,28.5 m,236°,  7.59 m/s
39m 00s,28.7 m,237°,  7.50 m/s
39m 05s,28.8 m,238°,  7.66 m/s
39m 10s,28.9 m,235°,  7.59 m/s
39m 15s,29.0 m,239°,  6.86 m/s
39m 20s,29.1 m,241°,  6.52 m/s
39m 25s,29.2 m,233°,  6.00 m/s
39m 30s,29.3 m,236°,  6.84 m/s
39m 35s,29.5 m,238°,  6.79 m/s
39m 40s,29.6 m,237°,  6.41 m/s
39m 55s,30.0 m,235°,  5.49 m/s
40m 00s,29.8 m,230°,  7.48 m/s
40m 05s,29.7 m,228°,  7.18 m/s
40m 10s,29.5 m,231°,  6.19 m/s
40m 15s,29.3 m,233°,  6.29 m/s
40m 20s,29.2 m,226°,  6.52 m/s
40m 25s,29.0 m,226°,  6.22 m/s
40m 30s,28.8 m,232°,  6.42 m/s
40m 35s,28.7 m,227°,  7.87 m/s
40m 40s,28.6 m,236°,  5.29 m/s
40m 45s,28.4 m,231°,  7.19 m/s
41m 00s,28.2 m,244°,  7.24 m/s
41m 05s,28.3 m,241°,  7.05 m/s
41m 10s,28.5 m,238°,  7.34 m/s
41m 15s,28.6 m,236°,  8.74 m/s
41m 20s,28.8 m,235°,  8.08 m/s
41m 25s,29.0 m,237°,  7.88 m/s
41m 30s,29.1 m,234°,  7.19 m/s
41m 35s,29.3 m,230°,  6.70 m/s
41m 40s,29.5 m,235°,  7.09 m/s
41m 45s,29.6 m,230°,  5.47 m/s
41m 50s,29.8 m,231°,  5.51 m/s
42m 05s,29.1 m,227°,  5.51 m/s
42m 10s,29.0 m,243°,  7.02 m/s
42m 15s,28.8 m,224°,  5.35 m/s
42m 20s,28.7 m,236°,  5.26 m/s
42m 25s,28.6 m,223°,  6.46 m/s
42m 30s,28.4 m,231°,  8.26 m/s
42m 35s,28.3 m,229°,  8.13 m/s
42m 40s,28.2 m,226°,  7.13 m/s
42m 45s,28.0 m,234°,  5.68 m/s
42m 50s,27.9 m,233°,  7.92 m/s
42m 55s,27.8 m,228°,  8.10 m/s
43m 10s,27.5 m,239°,  7.39 m/s
43m 15s,27.6 m,241°,  6.80 m/s
43m 20s,27.7 m,241°,  7.75 m/s
43m 25s,27.7 m,240°,  7.37 m/s
43m 30s,27.8 m,230°,  6.94 m/s
43m 35s,27.9 m,247°,  7.42 m/s
43m 40s,28.0 m,238°,  6.86 m/s
43m 45s,28.0 m,245°,  7.54 m/s
43m 50s,28.1 m,241°,  6.63 m/s
43m 55s,28.2 m,236°,  7.51 m/s
44m 00s,28.3 m,240°,  7.26 m/s
44m 15s,27.6 m,237°,  6.86 m/s
44m 20s,27.5 m,230°,  6.64 m/s
44m 25s,27.4 m,225°,  6.00 m/s
44m 30s,27.3 m,228°,  7.37 m/s
44m 35s,27.3 m,231°,  5.80 m/s
44m 40s,27.2 m,231°,  6.25 m/s
44m 45s,27.2 m,224°,  5.98 m/s
44m 50s,27.1 m,233°,  6.15 m/s
44m 55s,27.1 m,232°,  7.16 m/s
45m 00s,27.0 m,232°,  6.78 m/s
45m 20s,26.6 m,238°,  7.70 m/s
45m 25s,26.6 m,240°,  7.38 m/s
45m 30s,26.7 m,234°,  6.72 m/s
45m 35s,26.8 m,234°,  6.66 m/s
45m 40s,26.9 m,239°,  6.84 m/s
45m 45s,26.9 m,243°,  6.25 m/s
45m 50s,27.0 m,248°,  6.32 m/s
45m 55s,27.1 m,235°,  6.28 m/s
46m 00s,27.1 m,237°,  5.67 m/s
46m 05s,27.2 m,240°,  6.50 m/s
46m 20s,27.3 m,239°,  8.36 m/s
46m 25s,27.2 m,232°,  8.28 m/s
46m 30s,27.1 m,235°,  8.31 m/s
46m 35s,27.0 m,235°,  7.61 m/s
46m 40s,26.9 m,224°,  7.65 m/s
46m 45s,26.8 m,233°,  7.15 m/s
46m 50s,26.8 m,227°,  7.27 m/s
46m 55s,26.7 m,228°,  6.98 m/s
47m 00s,26.6 m,232°,  6.84 m/s
47m 05s,26.4 m,231°,  6.85 m/s
47m 10s,26.4 m,228°,  7.37 m/s
47m 25s,26.5 m,239°,  5.81 m/s
47m 30s,26.6 m,240°,  7.26 m/s
47m 35s,26.8 m,236°,  7.22 m/s
47m 40s,26.9 m,240°,  6.16 m/s
47m 45s,27.0 m,237°,  5.99 m/s
47m 50s,27.2 m,238°,  5.79 m/s
47m 55s,27.3 m,243°,  5.72 m/s
48m 00s,27.4 m,242°,  7.45 m/s
48m 05s,27.5 m,238°,  6.32 m/s
48m 10s,27.7 m,233°,  6.32 m/s
48m 15s,27.8 m,244°,  6.89 m/s
48m 30s,28.1 m,231°,  7.42 m/s
48m 35s,27.9 m,222°,  5.90 m/s
48m 40s,27.8 m,229°,  7.46 m/s
48m 45s,27.6 m,232°,  8.14 m/s
48m 50s,27.5 m,230°,  7.70 m/s
48m 55s,27.3 m,233°,  6.75 m/s
49m 00s,27.2 m,230°,  6.65 m/s
49m 05s,27.0 m,227°,  5.97 m/s
49m 10s,26.9 m,234°,  6.45 m/s
49m 15s,26.7 m,232°,  6.02 m/s
49m 20s,26.6 m,235°,  5.61 m/s
49m 35s,26.8 m,246°,  6.60 m/s
49m 40s,27.0 m,242°,  6.34 m/s
49m 45s,27.1 m,242°,  5.98 m/s
49m 50s,27.3 m,239°,  5.48 m/s
49m 55s,27.4 m,238°,  6.26 m/s
50m 00s,27.5 m,236°,  7.00 m/s
50m 05s,27.7 m,237°,  7.12 m/s
